#epoch,population,Rock,Paper,Scissors
0,0,824,846,830
1,0,826,849,825
2,0,874,832,794
3,0,877,843,780
4,0,894,853,753
5,0,865,878,757
6,0,847,891,762
7,0,798,939,763
8,0,744,933,823
9,0,716,962,822
10,0,671,962,867
11,0,639,937,924
12,0,635,886,979
13,0,665,844,991
14,0,675,754,1071
15,0,696,715,1089
16,0,732,696,1072
17,0,756,687,1057
18,0,824,706,970
19,0,865,733,902
20,0,881,768,851
21,0,885,790,825
22,0,873,800,827
23,0,874,817,809
24,0,858,829,813
25,0,846,832,822
26,0,824,853,823
27,0,824,854,822
28,0,816,860,824
29,0,820,862,818
30,0,807,865,828
31,0,771,864,865
32,0,756,839,905
33,0,728,858,914
34,0,689,871,940
35,0,681,874,945
36,0,676,873,951
37,0,660,845,995
38,0,675,807,1018
39,0,749,745,1006
40,0,797,720,983
41,0,830,681,989
42,0,917,647,936
43,0,952,638,910
44,0,1011,634,855
45,0,1081,652,767
46,0,1116,647,737
47,0,1115,706,679
48,0,1098,757,645
49,0,1090,801,609
50,0,1081,851,568
51,0,1053,883,564
52,0,1021,898,581
53,0,995,901,604
54,0,947,928,625
55,0,872,971,657
56,0,817,1017,666
57,0,760,1043,697
58,0,714,1065,721
59,0,671,1042,787
60,0,660,1036,804
61,0,667,955,878
62,0,712,884,904
63,0,754,853,893
64,0,791,815,894
65,0,817,752,931
66,0,851,673,976
67,0,883,612,1005
68,0,888,581,1031
69,0,900,577,1023
70,0,918,561,1021
71,0,895,601,1004
72,0,892,655,953
73,0,906,672,922
74,0,912,685,903
75,0,941,699,860
76,0,996,708,796
77,0,1031,736,733
78,0,1016,787,697
79,0,1013,803,684
80,0,1027,790,683
81,0,1022,792,686
82,0,1028,787,685
83,0,1017,769,714
84,0,1008,733,759
85,0,1028,732,740
86,0,1031,757,712
87,0,1036,761,703
88,0,1048,787,665
89,0,1030,823,647
90,0,971,884,645
91,0,972,894,634
92,0,923,909,668
93,0,907,913,680
94,0,862,925,713
95,0,828,938,734
96,0,849,938,713
97,0,821,926,753
98,0,801,909,790
99,0,785,903,812
100,0,746,885,869
101,0,730,876,894
102,0,712,875,913
103,0,704,875,921
104,0,699,842,959
105,0,771,772,957
106,0,807,748,945
107,0,829,746,925
108,0,843,701,956
109,0,855,682,963
110,0,877,691,932
111,0,891,700,909
112,0,944,685,871
113,0,1008,687,805
114,0,1067,701,732
115,0,1123,718,659
116,0,1165,727,608
117,0,1190,731,579
118,0,1201,761,538
