# Map eggs to debian binary packages
#
# This file has 2 columns with the option of a third:
# 	[python package]	[debian binary package]		[option]

#
# Options:
#
# 	The only option implemented so far is "reduced" which means that the
# 	python dependency is not completely fulfilled by the debian dependency.
# 	This is useful when splitting packages but should be done with care.
# 	Using this option means warning messages are displayed every time that
# 	translation is used.
#

#
# The following is a hand maintained list
#

RestrictedPython                        python-restrictedpython
deluge                                  deluge-common
DenyHosts                               denyhosts
devscripts                              devscripts
didjvu                                  didjvu
dissy                                   dissy
include-server                          distcc-pump
distro-info                             distro-info
DITrack                                 ditrack
djagios                                 djagios
django-ajax-selects                     django-ajax-selects
django-filter                           django-filter
django-tables                           django-tables
Dockbarx                                dockbarx
Dosage                                  dosage
dot2tex                                 dot2tex
DouF00                                  douf00
driconf                                 driconf
DrPython                                drpython
dtrx                                    dtrx
duplicity                               duplicity
dvcs-autosync                           dvcs-autosync
earcandy                                earcandy
ears                                    ears
Editra                                  editra
eficas                                  eficas
Eikazo                                  eikazo
emesene                                 emesene
emma                                    emma
epigrass                                epigrass
episoder                                episoder
bzr-etckeeper                           etckeeper
euca2ools                               euca2ools
exabgp                                  exabgp
quodlibet                               exfalso
Fabric                                  fabric
fail2ban                                fail2ban
flashbake                               flashbake
flickrfs                                flickrfs
fonttools                               fonttools
fontypython                             fontypython
fookebox                                fookebox
The-FreeSmartphone-Framework-Daemon     fso-frameworkd
funkload                                funkload
furiusisomount                          furiusisomount
fusil                                   fusil
fusion-icon                             fusion-icon
fuss-launcher                           fuss-launcher
Gallery-Uploader                        gallery-uploader
Gally                                   gally
galternatives                           galternatives
gaphor                                  gaphor
gastablesgui                            gastables
gaupol                                  gaupol
GaussSum                                gausssum
gazpacho                                gazpacho
gdevilspie                              gdevilspie
gEcrit                                  gecrit
Gespeaker                               gespeaker
getmail                                 getmail4
geximon                                 geximon
gExtractWinIcons                        gextractwinicons
git-build-package                       git-buildpackage
github-cli                              github-cli
gitosis                                 gitosis
giws                                    giws
gjots2                                  gjots2
globs                                   globs
gmobilemedia                            gmobilemedia
gnome-activity-journal                  gnome-activity-journal
gnome-app-install                       gnome-codec-install
gnomecatalog                            gnomecatalog
go2                                     go2
googlecl                                googlecl
gourmet                                 gourmet
gozerbot                                gozerbot
gozerplugs                              gozerbot-plugins
gpodder                                 gpodder
gpxviewer                               gpxviewer
gquilt                                  gquilt
gracie                                  gracie
groundcontrol                           groundcontrol
gtklick                                 gtklick
Gufw                                    gufw
gunicorn                                gunicorn
gvb                                     gvb
gWakeOnLan                              gwakeonlan
gwrite                                  gwrite
gyp                                     gyp
HarvestMan                              harvestman
hellanzb                                hellanzb
hgsvn                                   hgsvn
hgview                                  hgview
hotot                                   hotot
hotwire                                 hotwire
Ibid                                    ibid
ibus-tegaki                             ibus-tegaki
identicurse                             identicurse
indywiki                                indywiki
iotop                                   iotop
ipython                                 ipython
jack                                    jack
JCC                                     jcc
jsb                                     jsonbot
key-mon                                 key-mon
keymapper                               keymapper
kiki                                    kiki
laditools                               laditools
lastfmsubmitd                           lastfmsubmitd
lazygal                                 lazygal
lfm                                     lfm
mod-python                              libapache2-mod-python
Pyste                                   libboost-python1.46-dev
netsnmp-python                          libsnmp-python
live-magic                              live-magic
loggerhead                              loggerhead
londonlaw                               londonlaw
lottanzb                                lottanzb
lptools                                 lptools
lshell                                  lshell
ludev-t                                 ludevit
lybniz                                  lybniz
mayavi                                  mayavi2
mercurial                               mercurial-common
hgnested                                mercurial-nested
mercurial-server                        mercurial-server
mic                                     mic2
mimms                                   mimms
mini-dinstall                           mini-dinstall
Mirage                                  mirage
miro                                    miro
Model-Builder                           model-builder
moosic                                  moosic
mozilla-devscripts                      mozilla-devscripts
mpDris                                  mpdris
msgpack-python                          msgpack-python
musiclibrarian                          musiclibrarian
nagstamon                               nagstamon
nautilus-image-manipulator              nautilus-image-manipulator
Nautilus-scripts-manager                nautilus-scripts-manager
nfoview                                 nfoview
nglister                                nglister
nsscache                                nsscache
Nulog                                   nulog
obMenu                                  obmenu
offlineimap                             offlineimap
oggconvert                              oggconvert
oidua                                   oidua
ooo2dbk                                 ooo2dbk
openbmap-logger                         openbmap-logger
openshot                                openshot
OpenSTV                                 openstv
osc                                     osc
ows                                     ows
pdfposter                               pdfposter
pdfshuffler                             pdfshuffler
pep8                                    pep8
perroquet                               perroquet
Phatch                                  phatch-cli
Photon                                  photon
picard                                  picard
PIDA                                    pida
pithos                                  pithos
pkpgcounter                             pkpgcounter
playitslowly                            playitslowly
Plywood                                 plywood
pondus                                  pondus
Pootle                                  pootle
python-policyd-spf                      postfix-policyd-spf-python
Postr                                   postr
prelude-correlator                      prelude-correlator
prelude-notify                          prelude-notify
preprocess                              preprocess
prewikka                                prewikka
prover9-mace4                           prover9-mace4
pssh                                    pssh
PsychoPy                                psychopy
PubTal                                  pubtal
purity-ng                               purity-ng
Pwman3                                  pwman3
pybackpack                              pybackpack
pybridge                                pybridge
pybtex                                  pybtex
pychecker                               pychecker
pychess                                 pychess
PyCoCuMa                                pycocuma
pyflakes                                pyflakes
Pygmy                                   pygmy
pygopherd                               pygopherd
Pyjamas                                 pyjamas-pyjs
pylint                                  pylint
lucene                                  pylucene
Pymacs                                  pymacs
PyMca                                   pymca
PyMetrics                               pymetrics
pymol                                   pymol
pyneighborhood                          pyneighborhood
PyPI-Browser                            pypibrowser
pyppd                                   pyppd
pyqonsole                               pyqonsole
Pyragua                                 pyragua
pyrit                                   pyrit
pyrite-publisher                        pyrite-publisher
Pyro                                    pyro
PyRoom                                  pyroom
pyscrabble                              pyscrabble-common
pytagsfs                                pytagsfs
4Suite-XML                              python-4suite-xml
python-aalib                            python-aalib
pyacidobasic                            python-acidobasic
adns-python                             python-adns
PyAIML                                  python-aiml
pyalsaaudio                             python-alsaaudio
Amara                                   python-amara
python-application                      python-application
python-apt                              python-apt
python-aspects                          python-aspects
py-Asterisk                             python-asterisk
pyspi                                   python-at-spi
python-augeas                           python-augeas
AuthKit                                 python-authkit
Axiom                                   python-axiom
Babel                                   python-babel
Beaker                                  python-beaker
BeautifulSoup                           python-beautifulsoup
python-bibtex                           python-bibtex
pybloom                                 python-bloomfilter
PyBluez                                 python-bluez
Box2D                                   python-box2d
Brlapi                                  python-brlapi
Buffy                                   python-buffy
bzr                                     python-bzrlib
Camelot                                 python-camelot
Catwalk                                 python-catwalk
python-cdd                              python-cdd
CDDB                                    python-cddb
Cerealizer                              python-cerealizer
Chameleon                               python-chameleon
Cheetah                                 python-cheetah
pychm                                   python-chm
Chromaprint                             python-chromaprint
python-cjson                            python-cjson
ClientForm                              python-clientform
python-cloudservers                     python-cloudservers
CMOR                                    python-cmor
Coherence                               python-coherence
CouchDB                                 python-couchdb
CoverageTestRunner                      python-coverage-test-runner
Creoleparser                            python-creoleparser
pycrypto                                python-crypto
PythonDaap                              python-daap
python-daemon                           python-daemon
python-dateutil                         python-dateutil
python-debian                           python-debian
python-debianbts                        python-debianbts
DeliciousAPI                            python-deliciousapi
pydicom                                 python-dicom
python-distutils-extra                  python-distutils-extra
Django                                  python-django
django-openid-auth                      python-django-auth-openid
Djapian                                 python-django-djapian
Djblets                                 python-django-djblets
dmigrations                             python-django-dmigrations
djextdirect                             python-django-extdirect
FeinCMS                                 python-django-feincms
South                                   python-django-south
python-djvulibre                        python-djvu
pydkim                                  python-dkim
python-dmidecode                        python-dmidecode
python-dmidecode-dbg                    python-dmidecode-dbg
pydns                                   python-dns
python-drizzle                          python-drizzle
DSV                                     python-dsv
python-ecore                            python-ecore
python-e-dbus                           python-edbus
EditObj                                 python-editobj
python-edje                             python-edje
pyelemental                             python-elemental
python-elementary                       python-elementary
Elements                                python-elements
Elixir                                  python-elixir
pyenchant                               python-enchant
EnthoughtBase                           python-enthoughtbase
EnvisageCore                            python-envisagecore
EnvisagePlugins                         python-envisageplugins
Epsilon                                 python-epsilon
python-evas                             python-evas
pyExcelerator                           python-excelerator
Extractor                               python-extractor
eyeD3                                   python-eyed3
pyfacebook                              python-facebook
FFC                                     python-ffc
FIAT                                    python-fiat
FibraNet                                python-fibranet
Flask                                   python-flask
Flask-WTF                               python-flaskext.wtf
forgetHTML                              python-forgethtml
forgetSQL                               python-forgetsql
FormEncode                              python-formencode
fuse-python                             python-fuse
GalleryRemote                           python-galleryremote
gdmodule                                python-gd
GDAL                                    python-gdal
pygdchart                               python-gdchart2
python-libgearman                       python-gearman.libgearman
Genetic                                 python-genetic
Genshi                                  python-genshi
python-geoclue                          python-geoclue
python-geohash                          python-geohash
GeoIP-Python                            python-geoip
python-gflags                           python-gflags
GitPython                               python-git
GnuPGInterface                          python-gnupginterface
gnuplot-py                              python-gnuplot
python-gnutls                           python-gnutls
pygpiv                                  python-gpiv
python-gtkmvc                           python-gtkmvc
GvGen                                   python-gvgen
PIL                                     python-imaging
pysane                                  python-imaging-sane
IMDbPY                                  python-imdbpy
Impacket                                python-impacket
imposm.parser                           python-imposm-parser
IPy                                     python-ipy
python-irclib                           python-irclib
ISO8583-Module                          python-iso8583
Jinja                                   python-jinja
Jinja2                                  python-jinja2
JPype                                   python-jpype
python-jswebkit                         python-jswebkit
Kajiki                                  python-kajiki
python-keyczar                          python-keyczar
KWWidgets                               python-kwwidgets
python-kzorp                            python-kzorp
python-ldap                             python-ldap
python-Levenshtein                      python-levenshtein
LibAppArmor                             python-libapparmor
apache-libcloud                         python-libcloud
libLAS                                  python-liblas
pyliblo                                 python-liblo
pylibpcap                               python-libpcap
pylibssh2                               python-libssh2
python-libtorrent                       python-libtorrent
python-logging-extra                    python-loggingx
Louie                                   python-louie
pyliblzma                               python-lzma
M2Crypto                                python-m2crypto
Magic-file-extensions                   python-magic
Mako                                    python-mako
MapScript                               python-mapscript
Markdown                                python-markdown
MarkupSafe                              python-markupsafe
MDP                                     python-mdp
mecab-python                            python-mecab
pymecavideo                             python-mecavideo
python-memcached                        python-memcache
python-mhash                            python-mhash
sqlalchemy-migrate                      python-migrate
pymilter                                python-milter
mingc                                   python-ming
MiniMock                                python-minimock
MLPY                                    python-mlpy
ModestMaps                              python-modestmaps
moin                                    python-moinmoin
elisa                                   python-moovida
python-mpd                              python-mpd
python-musicbrainz                      python-musicbrainz
python-musicbrainz2                     python-musicbrainz2
pymvpa                                  python-mvpa
Myghty                                  python-myghty
MyghtyUtils                             python-myghtyutils
MySQL-python                            python-mysqldb
python-netfilter                        python-netfilter
Nevow                                   python-nevow
pynids                                  python-nids
pynifti                                 python-nifti
python-nmap                             python-nmap
python-novaclient                       python-novaclient
pyogg                                   python-ogg
ooolib-python                           python-ooolib
PyOpenGL                                python-opengl
python-openid                           python-openid
openoffice-python                       python-openoffice
pyOpenSSL                               python-openssl
python-oss                              python-oss
python-otr                              python-otr
PAM                                     python-pam
pyparallel                              python-parallel
Paste                                   python-paste
PasteDeploy                             python-pastedeploy
PasteScript                             python-pastescript
DecoratorTools                          python-peak.util.decorators
python-phoneutils                       python-phoneutils
python-pipeline                         python-pipeline
python-libpisock                        python-pisock
Pivy                                    python-pivy
plasTeX                                 python-plastex
PLWM                                    python-plwm
Pmw                                     python-pmw
python-popcon                           python-popcon
python-prctl                            python-prctl
PyProtocols                             python-protocols
python-ptrace                           python-ptrace
PyAMF                                   python-pyamf
PyAudio                                 python-pyaudio
python2-biggles                         python-pybiggles
PyChart                                 python-pychart
Pyevolve                                python-pyevolve
PyGLEW                                  python-pyglew
Pygments                                python-pygments
PyGreSQL                                python-pygresql
PyHyphen                                python-pyhyphen
PyICU                                   python-pyicu
PyKCS11                                 python-pykcs11
Pylons                                  python-pylons
PyMTP                                   python-pymtp
PyNN                                    python-pynn
PyODE                                   python-pyode
py-pypcap                               python-pypcap
pyPdf                                   python-pypdf
pyPortMidi                              python-pypm
Pyrex                                   python-pyrex
PyRRD                                   python-pyrrd
PyRSS2Gen                               python-pyrss2gen
pysnmp-apps                             python-pysnmp4-apps
pysnmp-mibs                             python-pysnmp4-mibs
PyTango                                 python-pytango
PyVTK                                   python-pyvtk
PyWavelets                              python-pywt
PyX                                     python-pyx
Rabbyt                                  python-rabbyt
Radicale                                python-radicale
RBTools                                 python-rbtools
recaptcha-client                        python-recaptcha
pyremctl                                python-remctl
renpy-module                            python-renpy
Routes                                  python-routes
py-rrdtool                              python-rrdtool
pysatellites                            python-satellites
ScientificPython                        python-scientific
scikits.learn                           python-scikits-learn
SciTools                                python-scitools
Scrapy                                  python-scrapy
py-sendfile                             python-sendfile
pyserial                                python-serial
SetupDocs                               python-setupdocs
PySFML                                  python-sfml
Shapely                                 python-shapely
SimpleTAL                               python-simpletal
smart                                   python-smartpm
python-snpp                             python-snpp
SOAPpy                                  python-soappy
python-socksipy                         python-socksipy
Soya                                    python-soya
SPARQLWrapper                           python-sparqlwrapper
pysparse                                python-sparse
Sphinx                                  python-sphinx
Sponge                                  python-sponge
SpreadModule                            python-spread
spyder                                  python-spyderlib
SQLAlchemy                              python-sqlalchemy
yum-metadata-parser                     python-sqlitecachec
SQLObject                               python-sqlobject
SSSDConfig                              python-sss
pystatgrab                              python-statgrab
python-stdnum                           python-stdnum
Strongwind                              python-strongwind
pysubnettree                            python-subnettree
cwm                                     python-swap
pytcpwrap                               python-tcpwrap
tegaki-python                           python-tegaki
tegaki-pygtk                            python-tegaki-gtk
tegaki-tools                            python-tegakitools
Tempita                                 python-tempita
tgMochiKit                              python-tgmochikit
pytidylib                               python-tidylib
tkSnack                                 python-tksnack
Tofu                                    python-tofu
libtpclient-py                          python-tp-client
libtpproto-py                           python-tp-netlib
TraitsBackendQt                         python-traitsbackendqt
TraitsBackendWX                         python-traitsbackendwx
TraitsGUI                               python-traitsgui
TRML2PDF                                python-trml2pdf
TurboGears2                             python-turbogears2
TurboJson                               python-turbojson
TurboKid                                python-turbokid
TurboMail                               python-turbomail
Twisted                                 python-twisted
Twisted-Conch                           python-twisted-conch
Twisted-Lore                            python-twisted-lore
Twisted-Names                           python-twisted-names
Twisted-News                            python-twisted-news
python-twitter                          python-twitter
pytz                                    python-tz
UFL                                     python-ufl
UniConvertor                            python-uniconvertor
pyusb                                   python-usb
uTidylib                                python-utidylib
VTK                                     python-vtk
PyWebDAV                                python-webdav
WebError                                python-weberror
WebFlash                                python-webflash
WebHelpers                              python-webhelpers
pyweblib                                python-weblib
WebOb                                   python-webob
web.py                                  python-webpy
WebTest                                 python-webtest
Werkzeug                                python-werkzeug
Whoosh                                  python-whoosh
Wicd                                    python-wicd
WTForms                                 python-wtforms
pyxdg                                   python-xdg
python-xlib                             python-xlib
xml-marshaller                          python-xmlmarshaller
unittest-xml-reporting                  python-xmlrunner
python-xmltv                            python-xmltv
pYsearch                                python-yahoo
PyYAML                                  python-yaml
ZConfig                                 python-zconfig
zinnia-python                           python-zinnia
pyzmq                                   python-zmq
ZODB3                                   python-zodb
ZooKeeper                               python-zookeeper
ZSI                                     python-zsi
PythonCAD                               pythoncad
pythontracer                            pythontracer
pytrainer                               pytrainer
pyzor                                   pyzor
qbzr                                    qbzr
qct                                     qct
qmtest                                  qmtest
QuantLib-Python                         quantlib-python
qweborf                                 qweborf
rabbitvcs                               rabbitvcs-core
radiotray                               radiotray
ranger                                  ranger
rapid-photo-downloader                  rapid-photo-downloader
rapid-spring                            rapid-spring
rawdog                                  rawdog
rdiff-backup                            rdiff-backup
rebuildd                                rebuildd
rednotebook                             rednotebook
relational-gui                          relational
relational-readline                     relational-cli
remuco                                  remuco-base
rhythmbox-ampache                       rhythmbox-ampache
roundup                                 roundup
rpl                                     rpl
rst2pdf                                 rst2pdf
rubber                                  rubber
s3ql                                    s3ql
scons                                   scons
screenlets                              screenlets
seivot                                  seivot
sessioninstaller                        sessioninstaller
slapos.core                             slapos-client
smart-notifier                          smart-notifier
snakefood                               snakefood
snimpy                                  snimpy
Sonata                                  sonata
spambayes                               spambayes
spe                                     spe
spectacle                               spectacle
specto                                  specto
sslstrip                                sslstrip
startupmanager                          startupmanager
stgit                                   stgit
summain                                 summain
supervisor                              supervisor
supybot                                 supybot
svnmailer                               svnmailer
synce-kpm                               synce-kpm
synce-sync-engine                       synce-sync-engine
synopsis                                synopsis
allmydata-tahoe                         tahoe-lafs
tailor                                  tailor
tegaki-train                            tegaki-train
Terminator                              terminator
Thuban                                  thuban
tictactoe                               tictactoe-ng
TileCache                               tilecache
TileStache                              tilestache
tinyeartrainer                          tinyeartrainer
tortoisehg                              tortoisehg
Trac                                    trac
TracAccountManager                      trac-accountmanager
TracAuthOpenId                          trac-authopenid
Bitten                                  trac-bitten
TracBzr                                 trac-bzr
TracCustomFieldAdmin                    trac-customfieldadmin
TracDateField                           trac-datefieldplugin
TracGit                                 trac-git
graphviz                                trac-graphviz
icalview                                trac-icalviewplugin
TracMasterTickets                       trac-mastertickets
TracMercurial                           trac-mercurial
TracPrivateTickets                      trac-privateticketsplugin
TracSpamFilter                          trac-spamfilter
TracTags                                trac-tags
TracWikiPrintPlugin                     trac-wikiprint
TracWikiRename                          trac-wikirename
WikiTableMacro                          trac-wikitablemacro
TracWysiwyg                             trac-wysiwyg
TracXMLRPC                              trac-xmlrpc
transifex-client                        transifex-client
translate-toolkit                       translate-toolkit
trash                                   trash-cli
trimage                                 trimage
tritium                                 tritium
tryton                                  tryton-client
trytond-account                         tryton-modules-account
trytond-account-be                      tryton-modules-account-be
trytond-account-de-skr03                tryton-modules-account-de-skr03
trytond-account-invoice                 tryton-modules-account-invoice
trytond-account-invoice-history         tryton-modules-account-invoice-history
trytond-account-invoice-line-standalone tryton-modules-account-invoice-line-standalone
trytond-account-product                 tryton-modules-account-product
trytond-account-statement               tryton-modules-account-statement
trytond-analytic-account                tryton-modules-analytic-account
trytond-analytic-invoice                tryton-modules-analytic-invoice
trytond-analytic-purchase               tryton-modules-analytic-purchase
trytond-analytic-sale                   tryton-modules-analytic-sale
trytond-calendar                        tryton-modules-calendar
trytond-calendar-classification         tryton-modules-calendar-classification
trytond-calendar-scheduling             tryton-modules-calendar-scheduling
trytond-calendar-todo                   tryton-modules-calendar-todo
trytond-company                         tryton-modules-company
trytond-company-work-time               tryton-modules-company-work-time
trytond-country                         tryton-modules-country
trytond-currency                        tryton-modules-currency
trytond-dashboard                       tryton-modules-dashboard
trytond-google-maps                     tryton-modules-google-maps
trytond-ldap-authentication             tryton-modules-ldap-authentication
trytond-ldap-connection                 tryton-modules-ldap-connection
trytond-party                           tryton-modules-party
trytond-party-siret                     tryton-modules-party-siret
trytond-party-vcarddav                  tryton-modules-party-vcarddav
trytond-product                         tryton-modules-product
trytond-product-cost-fifo               tryton-modules-product-cost-fifo
trytond-product-cost-history            tryton-modules-product-cost-history
trytond-product-price-list              tryton-modules-product-price-list
trytond-project                         tryton-modules-project
trytond-project-plan                    tryton-modules-project-plan
trytond-project-revenue                 tryton-modules-project-revenue
trytond-purchase                        tryton-modules-purchase
trytond-purchase-invoice-line-standalon tryton-modules-purchase-invoice-line-standalone
trytond-sale                            tryton-modules-sale
trytond-sale-opportunity                tryton-modules-sale-opportunity
trytond-sale-price-list                 tryton-modules-sale-price-list
trytond-stock                           tryton-modules-stock
trytond-stock-forecast                  tryton-modules-stock-forecast
trytond-stock-inventory-location        tryton-modules-stock-inventory-location
trytond-stock-location-sequence         tryton-modules-stock-location-sequence
trytond-stock-product-location          tryton-modules-stock-product-location
trytond-stock-supply                    tryton-modules-stock-supply
trytond-stock-supply-day                tryton-modules-stock-supply-day
trytond-timesheet                       tryton-modules-timesheet
neso                                    tryton-neso
proteus                                 tryton-proteus
trytond                                 tryton-server
ttb                                     ttb
turnin-ng                               turnin-ng
turpial                                 turpial
Turtle-Art                              turtleart
ubuntu-dev-tools                        ubuntu-dev-tools
ubuntu-sso-client                       ubuntu-sso-client
ufw                                     ufw
unattended-upgrades                     unattended-upgrades
UPnP-Inspector                          upnp-inspector
urlscan                                 urlscan
urlwatch                                urlwatch
Viridian                                viridian
virtaal                                 virtaal
virtinst                                virtinst
vboxapi                                 virtualbox
virtualenvwrapper                       virtualenvwrapper
ViTables                                vitables
wammu                                   wammu
wapiti                                  wapiti
webboard                                webboard
whyteboard                              whyteboard
wiican                                  wiican
wikipediafs                             wikipediafs
Wikkid                                  wikkid
winpdb                                  winpdb
xgflib                                  xgridfit
xmldiff                                 xmldiff
xmms2tray                               xmms2tray
xxdiff-scripts                          xxdiff-scripts
yagtd                                   yagtd
python-yapps                            yapps2
yokadi                                  yokadi
zenmap                                  zenmap
zeroinstall-injector                    zeroinstall-injector
zhone                                   zhone-illume-glue
zim                                     zim
