# Map eggs to debian binary packages
#
# This file has 2 columns with the option of a third:
# 	[python package]	[debian binary package]		[option]

#
# Options:
#
# 	The only option implemented so far is "reduced" which means that the
# 	python dependency is not completely fulfilled by the debian dependency.
# 	This is useful when splitting packages but should be done with care.
# 	Using this option means warning messages are displayed every time that
# 	translation is used.
#

#
# The following is a hand maintained list
#

RestrictedPython                        python-restrictedpython
PyQt4                                   python-qt4
setuptools                              python-pkg-resources    reduced=python-setuptools
python-gettext                          python-gettext
wsgi_intercept                          python-wsgi-intercept

#
# Soon will appear in automatically generated list
#

#
# The following list is automatically generated from apt-file info by the scripts/generate script
#

activity-log-manager                    activity-log-manager
agtl                                    agtl
apt-clone                               apt-clone
apt-p2p                                 apt-p2p
apt-xapian-index                        apt-xapian-index
aptfs                                   aptfs
aptoncd                                 aptoncd
arandr                                  arandr
archivemail                             archivemail
archmage                                archmage
arcjobtool                              arcjobtool
arista                                  arista
atheist                                 atheist
autokey                                 autokey-common
Balazar                                 balazar
BalazarBrothers                         balazarbrothers
belier                                  belier
bicyclerepair                           bicyclerepair
bitbake                                 bitbake
JaroWinkler                             bitpim-lib
BitTornado                              bittornado
BitTorrent                              bittorrent
bkchem                                  bkchem
bley                                    bley
BlueWho                                 bluewho
bpython                                 bpython
bug-triage                              bug-triage
Bugs-Everywhere                         bugs-everywhere
pybugz                                  bugz
buildbot                                buildbot
buildbot-slave                          buildbot-slave
burn                                    burn
bzr-builddeb                            bzr-builddeb
bzr-cvsps-import                        bzr-cvsps-import
bzr-dbus                                bzr-dbus
bzr-email                               bzr-email
explorer                                bzr-explorer
bzr-fastimport                          bzr-fastimport
bzr-git                                 bzr-git
bzr-grep                                bzr-grep
bzr-gtk                                 bzr-gtk
bzr-hg                                  bzr-hg
Loom                                    bzr-loom
BzrPipeline                             bzr-pipeline
bzr-pqm                                 bzr-pqm
bzr-rewrite                             bzr-rewrite
bzr-search                              bzr-search
bzr-stats                               bzr-stats
bzr-svn                                 bzr-svn
bzr-upload                              bzr-upload
bzr-xmloutput                           bzr-xmloutput
BzrTools                                bzrtools
twistedcaldav                           calendarserver
Canto                                   canto
cappuccino                              cappuccino
cardstories                             cardstories
CedarBackup2                            cedar-backup2
cfget                                   cfget
chm2pdf                                 chm2pdf
bzr-cia                                 cia-clients
ClusterShell                            clustershell
astk                                    code-aster-run
Codeville                               codeville
computer-janitor                        computer-janitor
cm                                      config-manager
Connectome-Viewer                       connectomeviewer
ControlAula                             controlaula
convirt                                 convirt
Couchapp                                couchapp
cvs2svn                                 cvs2svn
Cython                                  cython
d-feet                                  d-feet
d-rats                                  d-rats
dctrl2xml                               dctrl2xml
debpartial-mirror                       debpartial-mirror
DebTorrent                              debtorrent
