# Map eggs to debian binary packages
#
# This file has 2 columns with the option of a third:
# 	[python package]	[debian binary package]		[option]

#
# Options:
#
# 	The only option implemented so far is "reduced" which means that the
# 	python dependency is not completely fulfilled by the debian dependency.
# 	This is useful when splitting packages but should be done with care.
# 	Using this option means warning messages are displayed every time that
# 	translation is used.
#

#
# The following is a hand maintained list
#

Reportlab                              	python-reportlab
python-musicbrainz2                     python-musicbrainz2
pyofa                                   python-musicdns
pymvpa                                  python-mvpa
Myghty                                  python-myghty
MyghtyUtils                             python-myghtyutils
MySQL-python                            python-mysqldb
python-netfilter                        python-netfilter
Nevow                                   python-nevow
pynids                                  python-nids
pynifti                                 python-nifti
python-nmap                             python-nmap
OcempGUI                                python-ocempgui
pyogg                                   python-ogg
ooolib-python                           python-ooolib
PyOpenAL                                python-openal
PyOpenGL                                python-opengl
python-openid                           python-openid
openoffice-python                       python-openoffice
pyOpenSSL                               python-openssl
python-oss                              python-oss
python-otr                              python-otr
PAM                                     python-pam
pyparallel                              python-parallel
Paste                                   python-paste
PasteDeploy                             python-pastedeploy
PasteScript                             python-pastescript
Paver                                   python-paver
pyPgSQL                                 python-pgsql
python-phoneutils                       python-phoneutils
python-pipeline                         python-pipeline
python-libpisock                        python-pisock
Pivy                                    python-pivy
plasTeX                                 python-plastex
PLWM                                    python-plwm
python-prctl                            python-prctl
PyProtocols                             python-protocols
python-ptrace                           python-ptrace
Babel                                   python-pybabel
python2-biggles                         python-pybiggles
PyChart                                 python-pychart
PyGLEW                                  python-pyglew
Pygments                                python-pygments
PyGreSQL                                python-pygresql
PyICU                                   python-pyicu
PyKCS11                                 python-pykcs11
Pylons                                  python-pylons
PyMTP                                   python-pymtp
PyODE                                   python-pyode
py-pypcap                               python-pypcap
pyPdf                                   python-pypdf
Pyrex                                   python-pyrex
PyRRD                                   python-pyrrd
PyRSS2Gen                               python-pyrss2gen
pysnmp-apps                             python-pysnmp4-apps
pysnmp-mibs                             python-pysnmp4-mibs
PyVTK                                   python-pyvtk
PyWavelets                              python-pywt
PyX                                     python-pyx
Rabbyt                                  python-rabbyt
Radicale                                python-radicale
recaptcha-client                        python-recaptcha
pyremctl                                python-remctl
renpy-module                            python-renpy
Routes                                  python-routes
py-rrdtool                              python-rrdtool
sAsync                                  python-sasync
ScientificPython                        python-scientific
scikits.learn                           python-scikits-learn
SciTools                                python-scitools
Scrapy                                  python-scrapy
py-sendfile                             python-sendfile
pyserial                                python-serial
SetupDocs                               python-setupdocs
PySFML                                  python-sfml
Shapely                                 python-shapely
Skype4Py                                python-skype
smart                                   python-smartpm
python-snpp                             python-snpp
SOAPpy                                  python-soappy
python-socksipy                         python-socksipy
Soya                                    python-soya
SPARQLWrapper                           python-sparqlwrapper
pysparse                                python-sparse
Sphinx                                  python-sphinx
Sponge                                  python-sponge
SpreadModule                            python-spread
SQLAlchemy                              python-sqlalchemy
yum-metadata-parser                     python-sqlitecachec
SQLObject                               python-sqlobject
SSSDConfig                              python-sss
pystatgrab                              python-statgrab
pysubnettree                            python-subnettree
cwm                                     python-swap
pytcpwrap                               python-tcpwrap
tegaki-python                           python-tegaki
tegaki-pygtk                            python-tegaki-gtk
tegaki-tools                            python-tegakitools
Tempita                                 python-tempita
tgMochiKit                              python-tgmochikit
tkSnack                                 python-tksnack
Tofu                                    python-tofu
libtpclient-py                          python-tp-client
libtpproto-py                           python-tp-netlib
Traits                                  python-traits
TraitsBackendQt                         python-traitsbackendqt
TraitsBackendWX                         python-traitsbackendwx
TraitsGUI                               python-traitsgui
TRML2PDF                                python-trml2pdf
TurboGears2                             python-turbogears2
TurboJson                               python-turbojson
TurboKid                                python-turbokid
TurboMail                               python-turbomail
Twisted-Conch                           python-twisted-conch
Twisted-Core                            python-twisted-core
TwistedSNMP                             python-twisted-snmp
python-twitter                          python-twitter
pytz                                    python-tz
UFL                                     python-ufl
UniConvertor                            python-uniconvertor
pyusb                                   python-usb
uTidylib                                python-utidylib
VTK                                     python-vtk
PyWebDAV                                python-webdav
WebError                                python-weberror
WebFlash                                python-webflash
WebHelpers                              python-webhelpers
pyweblib                                python-weblib
WebOb                                   python-webob
web.py                                  python-webpy
WebTest                                 python-webtest
Werkzeug                                python-werkzeug
Whoosh                                  python-whoosh
Wicd                                    python-wicd
pyxdg                                   python-xdg
python-xlib                             python-xlib
python-xmltv                            python-xmltv
pYsearch                                python-yahoo
PyYAML                                  python-yaml
ZConfig                                 python-zconfig
zinnia-python                           python-zinnia
ZODB3                                   python-zodb
ZooKeeper                               python-zookeeper
ZSI                                     python-zsi
PythonCAD                               pythoncad
pytrainer                               pytrainer
pyzor                                   pyzor
qbzr                                    qbzr
qct                                     qct
qmtest                                  qmtest
QuantLib-Python                         quantlib-python
quickplay                               quickplay
rabbitvcs                               rabbitvcs-core
radiotray                               radiotray
rawdog                                  rawdog
rdiff-backup                            rdiff-backup
rebuildd                                rebuildd
rednotebook                             rednotebook
relational-gui                          relational
remuco                                  remuco-base
roundup                                 roundup
rpl                                     rpl
rst2pdf                                 rst2pdf
rubber                                  rubber
sapgui-package                          sapgui-package
scanerrlog                              scanerrlog
scons                                   scons
screenlets                              screenlets
sessioninstaller                        sessioninstaller
sixpack                                 sixpack
smart-notifier                          smart-notifier
snakefood                               snakefood
snimpy                                  snimpy
Sonata                                  sonata
Songwrite                               songwrite
spambayes                               spambayes
spe                                     spe
specto                                  specto
spf-milter-python                       spf-milter-python
spyder                                  spyder
startupmanager                          startupmanager
stgit                                   stgit
supervisor                              supervisor
supybot                                 supybot
svnmailer                               svnmailer
synce-kpm                               synce-kpm
synce-sync-engine                       synce-sync-engine
synopsis                                synopsis
tailor                                  tailor
tegaki-train                            tegaki-train
tepache                                 tepache
Terminator                              terminator
Thuban                                  thuban
tictactoe                               tictactoe-ng
TileCache                               tilecache
tla-buildpackage                        tla-buildpackage
tortoisehg                              tortoisehg
Trac                                    trac
TracAccountManager                      trac-accountmanager
TracAuthOpenId                          trac-authopenid
Bitten                                  trac-bitten
TracBzr                                 trac-bzr
TracCustomFieldAdmin                    trac-customfieldadmin
TracDateField                           trac-datefieldplugin
TracGit                                 trac-git
graphviz                                trac-graphviz
icalview                                trac-icalviewplugin
TracMasterTickets                       trac-mastertickets
TracMercurial                           trac-mercurial
TracSpamFilter                          trac-spamfilter
TracWikiPrintPlugin                     trac-wikiprint
TracWikiRename                          trac-wikirename
WikiTableMacro                          trac-wikitablemacro
TracWysiwyg                             trac-wysiwyg
TracXMLRPC                              trac-xmlrpc
translate-toolkit                       translate-toolkit
trash                                   trash-cli
tritium                                 tritium
tryton                                  tryton-client
trytond-account                         tryton-modules-account
trytond-account-be                      tryton-modules-account-be
trytond-account-de-skr03                tryton-modules-account-de-skr03
trytond-account-invoice                 tryton-modules-account-invoice
trytond-account-invoice-history         tryton-modules-account-invoice-history
trytond-account-invoice-line-standalone tryton-modules-account-invoice-line-standalone
trytond-account-product                 tryton-modules-account-product
trytond-account-statement               tryton-modules-account-statement
trytond-analytic-account                tryton-modules-analytic-account
trytond-analytic-invoice                tryton-modules-analytic-invoice
trytond-analytic-purchase               tryton-modules-analytic-purchase
trytond-analytic-sale                   tryton-modules-analytic-sale
trytond-calendar                        tryton-modules-calendar
trytond-calendar-classification         tryton-modules-calendar-classification
trytond-calendar-scheduling             tryton-modules-calendar-scheduling
trytond-calendar-todo                   tryton-modules-calendar-todo
trytond-company                         tryton-modules-company
trytond-company-work-time               tryton-modules-company-work-time
trytond-country                         tryton-modules-country
trytond-currency                        tryton-modules-currency
trytond-dashboard                       tryton-modules-dashboard
trytond-google-maps                     tryton-modules-google-maps
trytond-google-translate                tryton-modules-google-translate
trytond-ldap-authentication             tryton-modules-ldap-authentication
trytond-ldap-connection                 tryton-modules-ldap-connection
trytond-party                           tryton-modules-party
trytond-party-siret                     tryton-modules-party-siret
trytond-party-vcarddav                  tryton-modules-party-vcarddav
trytond-product                         tryton-modules-product
trytond-product-cost-fifo               tryton-modules-product-cost-fifo
trytond-product-cost-history            tryton-modules-product-cost-history
trytond-product-price-list              tryton-modules-product-price-list
trytond-project                         tryton-modules-project
trytond-project-revenue                 tryton-modules-project-revenue
trytond-purchase                        tryton-modules-purchase
trytond-purchase-invoice-line-standalon tryton-modules-purchase-invoice-line-standalone
trytond-sale                            tryton-modules-sale
trytond-sale-price-list                 tryton-modules-sale-price-list
trytond-stock                           tryton-modules-stock
trytond-stock-forecast                  tryton-modules-stock-forecast
trytond-stock-inventory-location        tryton-modules-stock-inventory-location
trytond-stock-location-sequence         tryton-modules-stock-location-sequence
trytond-stock-product-location          tryton-modules-stock-product-location
trytond-stock-supply                    tryton-modules-stock-supply
trytond-stock-supply-day                tryton-modules-stock-supply-day
trytond-timesheet                       tryton-modules-timesheet
neso                                    tryton-neso
trytond                                 tryton-server
ttb                                     ttb
TTCN3Parser                             ttcn3parser
turnin-ng                               turnin-ng
ubuntu-dev-tools                        ubuntu-dev-tools
ufw                                     ufw
unattended-upgrades                     unattended-upgrades
UPnP-Inspector                          upnp-inspector
urlscan                                 urlscan
urlwatch                                urlwatch
virtaal                                 virtaal
virtinst                                virtinst
vboxapi                                 virtualbox-ose
virtualenvwrapper                       virtualenvwrapper
wammu                                   wammu
wapiti                                  wapiti
webboard                                webboard
wikipediafs                             wikipediafs
winpdb                                  winpdb
xgflib                                  xgridfit
xmldiff                                 xmldiff
xmms2tray                               xmms2tray
xxdiff-scripts                          xxdiff-scripts
yagtd                                   yagtd
python-yapps                            yapps2
yokadi                                  yokadi
zenmap                                  zenmap
zeroinstall-injector                    zeroinstall-injector
zhone                                   zhone-illume-glue
zim                                     zim
zopyx.textindexng3                      zope-textindexng3-lib
