# Map eggs to debian binary packages
#
# This file has 2 columns with the option of a third:
# 	[python package]	[debian binary package]		[option]

#
# Options:
#
# 	The only option implemented so far is "reduced" which means that the
# 	python dependency is not completely fulfilled by the debian dependency.
# 	This is useful when splitting packages but should be done with care.
# 	Using this option means warning messages are displayed every time that
# 	translation is used.
#

#
# The following is a hand maintained list
#

Reportlab                              	python-reportlab
RestrictedPython			python-restrictedpython
PyQt4					python-qt4
setuptools				python-pkg-resources			reduced=python-setuptools
python-gettext				python-gettext

#
# Soon will appear in automatically generated list
#

#
# The following list is automatically generated from apt-file info by the scripts/generate script
#

adesklets                               adesklets
agtl                                    agtl
apt-offline                             apt-offline
apt-p2p                                 apt-p2p
apt-xapian-index                        apt-xapian-index
aptfs                                   aptfs
aptoncd                                 aptoncd
arandr                                  arandr
archivemail                             archivemail
archmage                                archmage
arcjobtool                              arcjobtool
arista                                  arista
astk                                    astk
atheist                                 atheist
AutoDockTools                           autodocktools
autokey                                 autokey-common
Balazar                                 balazar
BalazarBrothers                         balazarbrothers
belier                                  belier
bicyclerepair                           bicyclerepair
bitbake                                 bitbake
JaroWinkler                             bitpim-lib
BitTornado                              bittornado
BitTorrent                              bittorrent
bkchem                                  bkchem
bleachbit                               bleachbit
bley                                    bley
BlueWho                                 bluewho
bpython                                 bpython
bug-triage                              bug-triage
Bugs-Everywhere                         bugs-everywhere
pybugz                                  bugz
buildbot                                buildbot
burn                                    burn
bzr                                     bzr
bzr-builddeb                            bzr-builddeb
bzr-cvsps-import                        bzr-cvsps-import
bzr-dbus                                bzr-dbus
bzr-email                               bzr-email
explorer                                bzr-explorer
fastimport                              bzr-fastimport
bzr-git                                 bzr-git
bzr-grep                                bzr-grep
bzr-gtk                                 bzr-gtk
bzr-hg                                  bzr-hg
Loom                                    bzr-loom
BzrPipeline                             bzr-pipeline
bzr-pqm                                 bzr-pqm
bzr-search                              bzr-search
bzr-stats                               bzr-stats
bzr-svn                                 bzr-svn
bzr-upload                              bzr-upload
bzr-xmloutput                           bzr-xmloutput
BzrTools                                bzrtools
twistedcaldav                           calendarserver
calibre                                 calibre
Canto                                   canto
cappuccino                              cappuccino
CedarBackup2                            cedar-backup2
cfget                                   cfget
charm                                   charm
chm2pdf                                 chm2pdf
bzr-cia                                 cia-clients
cnetworkmanager                         cnetworkmanager
Codeville                               codeville
computer-janitor                        computer-janitor
cm                                      config-manager
cvs2svn                                 cvs2svn
Cython                                  cython
d-feet                                  d-feet
dctrl2xml                               dctrl2xml
debomatic                               debomatic
debpartial-mirror                       debpartial-mirror
DebTorrent                              debtorrent
decompyle                               decompyle
deluge                                  deluge-common
DenyHosts                               denyhosts
dissy                                   dissy
include-server                          distcc-pump
DITrack                                 ditrack
djagios                                 djagios
Dosage                                  dosage
dot2tex                                 dot2tex
DouF00                                  douf00
dreampie                                dreampie
driconf                                 driconf
DrPython                                drpython
dtrx                                    dtrx
duplicity                               duplicity
dynagen                                 dynagen
earcandy                                earcandy
ears                                    ears
editmoin                                editmoin
Editra                                  editra
Eikazo                                  eikazo
eLyXer                                  elyxer
emesene                                 emesene
emma                                    emma
epigrass                                epigrass
bzr-etckeeper                           etckeeper
euca2ools                               euca2ools
quodlibet                               exfalso
Fabric                                  fabric
fail2ban                                fail2ban
flickrfs                                flickrfs
Fnorb                                   fnorb
foff                                    foff
fonttools                               fonttools
fontypython                             fontypython
The-FreeSmartphone-Framework-Daemon     fso-frameworkd
funkload                                funkload
furiusisomount                          furiusisomount
fusil                                   fusil
fusion-icon                             fusion-icon
fuss-launcher                           fuss-launcher
Gallery-Uploader                        gallery-uploader
galternatives                           galternatives
gaphor                                  gaphor
gastablesgui                            gastables
gaupol                                  gaupol
GaussSum                                gausssum
gazpacho                                gazpacho
gdevilspie                              gdevilspie
Gespeaker                               gespeaker
geximon                                 geximon
gExtractWinIcons                        gextractwinicons
git-build-package                       git-buildpackage
github-cli                              github-cli
gitosis                                 gitosis
giws                                    giws
gjots2                                  gjots2
gmobilemedia                            gmobilemedia
gnome-activity-journal                  gnome-activity-journal
gnome-app-install                       gnome-codec-install
gnomecatalog                            gnomecatalog
GNS3                                    gns3
go2                                     go2
gourmet                                 gourmet
gozerbot                                gozerbot
gozerplugs                              gozerbot-plugins
gpodder                                 gpodder
gpxviewer                               gpxviewer
gracie                                  gracie
groundcontrol                           groundcontrol
gtg                                     gtg
gtklick                                 gtklick
gunicorn                                gunicorn
gvb                                     gvb
gWakeOnLan                              gwakeonlan
gwibber                                 gwibber
gwrite                                  gwrite
gyp                                     gyp
HarvestMan                              harvestman
hellanzb                                hellanzb
hgsvn                                   hgsvn
hgview                                  hgview
hotwire                                 hotwire
Ibid                                    ibid
ibus-tegaki                             ibus-tegaki
indywiki                                indywiki
iotop                                   iotop
ipython                                 ipython
jack                                    jack
JCC                                     jcc
keymapper                               keymapper
kphotobymail                            kphotobymail
lastfmsubmitd                           lastfmsubmitd
lazygal                                 lazygal
lfm                                     lfm
mod-python                              libapache2-mod-python
netsnmp-python                          libsnmp-python
live-magic                              live-magic
vcs-load-dirs                           load-dirs-common
loggerhead                              loggerhead
londonlaw                               londonlaw
lottanzb                                lottanzb
lptools                                 lptools
lshell                                  lshell
ludev-t                                 ludevit
lunch                                   lunch
lybniz                                  lybniz
Mayavi                                  mayavi2
megahal                                 megahal
mercurial                               mercurial-common
mercurial-server                        mercurial-server
bhtree                                  mgltools-bhtree
DejaVu                                  mgltools-dejavu
geomutils                               mgltools-geomutils
gle                                     mgltools-gle
mglutil                                 mgltools-mglutil
MolKit                                  mgltools-molkit
NetworkEditor                           mgltools-networkeditor
opengltk                                mgltools-opengltk
Pmv                                     mgltools-pmv
PyAutoDock                              mgltools-pyautodock
PyBabel                                 mgltools-pybabel
pyglf                                   mgltools-pyglf
scenario                                mgltools-scenario
sff                                     mgltools-sff
Support                                 mgltools-support
symserv                                 mgltools-symserv
ViewerFramework                         mgltools-viewerframework
Vision                                  mgltools-vision
Volume                                  mgltools-volume
mimms                                   mimms
mini-dinstall                           mini-dinstall
Mirage                                  mirage
miro                                    miro
Model-Builder                           model-builder
moosic                                  moosic
mpDris                                  mpdris
musiclibrarian                          musiclibrarian
nagstamon                               nagstamon
namebench                               namebench
Nautilus-scripts-manager                nautilus-scripts-manager
nfoview                                 nfoview
nglister                                nglister
Nulog                                   nulog
obMenu                                  obmenu
ocrfeeder                               ocrfeeder
offlineimap                             offlineimap
oggconvert                              oggconvert
oidua                                   oidua
ooo2dbk                                 ooo2dbk
openbmap-logger                         openbmap-logger
openshot                                openshot
OpenSTV                                 openstv
osc                                     osc
ows                                     ows
pdfposter                               pdfposter
pdfshuffler                             pdfshuffler
pep8                                    pep8
Phatch                                  phatch-cli
photo-uploader                          photo-uploader
Photon                                  photon
picard                                  picard
PIDA                                    pida
pkpgcounter                             pkpgcounter
Plywood                                 plywood
pondus                                  pondus
Pootle                                  pootle
python-policyd-spf                      postfix-policyd-spf-python
Postr                                   postr
prelude-correlator                      prelude-correlator
prelude-notify                          prelude-notify
prewikka                                prewikka
prover9-mace4                           prover9-mace4
pssh                                    pssh
PsychoPy                                psychopy
PubTal                                  pubtal
Pwman3                                  pwman3
pybackpack                              pybackpack
pybridge                                pybridge
pybtex                                  pybtex
PyChecker                               pychecker
pychess                                 pychess
PyCoCuMa                                pycocuma
pyflakes                                pyflakes
Pygmy                                   pygmy
pygopherd                               pygopherd
Pyjamas                                 pyjamas-pyjs
pylint                                  pylint
lucene                                  pylucene
Pymacs                                  pymacs
PyMetrics                               pymetrics
pymol                                   pymol
Pympd                                   pympd
pyneighborhood                          pyneighborhood
PyPI-Browser                            pypibrowser
pyqonsole                               pyqonsole
Pyragua                                 pyragua
pyrite-publisher                        pyrite-publisher
Pyro                                    pyro
PyRoom                                  pyroom
pyscrabble                              pyscrabble-common
pytagsfs                                pytagsfs
Py2Play                                 python-2play
4Suite-XML                              python-4suite-xml
python-aalib                            python-aalib
adns-python                             python-adns
pyalsaaudio                             python-alsaaudio
Amara                                   python-amara
python-application                      python-application
AppTools                                python-apptools
python-apt                              python-apt
python-aspects                          python-aspects
py-Asterisk                             python-asterisk
AsynQueue                               python-asynqueue
pyspi                                   python-at-spi
python-augeas                           python-augeas
AuthKit                                 python-authkit
Axiom                                   python-axiom
Beaker                                  python-beaker
BeautifulSoup                           python-beautifulsoup
python-bibtex                           python-bibtex
PyBluez                                 python-bluez
Brlapi                                  python-brlapi
cx-bsdiff                               python-bsdiff
Catwalk                                 python-catwalk
python-cdb                              python-cdb
python-cdd                              python-cdd
CDDB                                    python-cddb
cElementTree                            python-celementtree
Cerealizer                              python-cerealizer
PyCg                                    python-cg
Chaco                                   python-chaco
Chameleon                               python-chameleon
Cheetah                                 python-cheetah
pychm                                   python-chm
python-cjson                            python-cjson
pyclamav                                python-clamav
ClientForm                              python-clientform
python-cloudservers                     python-cloudservers
Coherence                               python-coherence
CouchDB                                 python-couchdb
Creoleparser                            python-creoleparser
pycrypto                                python-crypto
PythonDaap                              python-daap
python-daemon                           python-daemon
python-dateutil                         python-dateutil
python-debian                           python-debian
DecoratorTools                          python-decoratortools
DeliciousAPI                            python-deliciousapi
RuleDispatch                            python-dispatch
python-distutils-extra                  python-distutils-extra
Django                                  python-django
django-openid-auth                      python-django-auth-openid
Djapian                                 python-django-djapian
Djblets                                 python-django-djblets
dmigrations                             python-django-dmigrations
South                                   python-django-south
python-djvulibre                        python-djvu
pydkim                                  python-dkim
python-dmidecode                        python-dmidecode
python-dmidecode-dbg                    python-dmidecode-dbg
pydns                                   python-dns
python-libdrizzle                       python-drizzle
DSV                                     python-dsv
python-ecore                            python-ecore
python-e-dbus                           python-edbus
EditObj                                 python-editobj
python-edje                             python-edje
pyelemental                             python-elemental
python-elementary                       python-elementary
Elixir                                  python-elixir
Enable                                  python-enable
pyenchant                               python-enchant
EnthoughtBase                           python-enthoughtbase
EnvisageCore                            python-envisagecore
EnvisagePlugins                         python-envisageplugins
Epsilon                                 python-epsilon
python-evas                             python-evas
pyExcelerator                           python-excelerator
ExtensionClass                          python-extclass
Extractor                               python-extractor
eyeD3                                   python-eyed3
pyfacebook                              python-facebook
python-fam                              python-fam
FFC                                     python-ffc
FIAT                                    python-fiat
FibraNet                                python-fibranet
Flask                                   python-flask
forgetSQL                               python-forgetsql
FormEncode                              python-formencode
libftdi                                 python-ftdi
fuse-python                             python-fuse
gdmodule                                python-gd
GDAL                                    python-gdal
pygdchart                               python-gdchart2
Genetic                                 python-genetic
Genshi                                  python-genshi
python-geoclue                          python-geoclue
GeoIP-Python                            python-geoip
GitPython                               python-git
GnuPGInterface                          python-gnupginterface
gnuplot-py                              python-gnuplot
python-gnutls                           python-gnutls
pygpiv                                  python-gpiv
python-gtkmvc                           python-gtkmvc
Ifeffit                                 python-ifeffit
PIL                                     python-imaging
pysane                                  python-imaging-sane
IMDbPY                                  python-imdbpy
Impacket                                python-impacket
IPy                                     python-ipy
python-irclib                           python-irclib
ISO8583-Module                          python-iso8583
Jinja                                   python-jinja
Jinja2                                  python-jinja2
JPype                                   python-jpype
json-py                                 python-json
python-jswebkit                         python-jswebkit
KWWidgets                               python-kwwidgets
python-ldap                             python-ldap
python-Levenshtein                      python-levenshtein
apache-libcloud                         python-libcloud
libLAS                                  python-liblas
pyliblo                                 python-liblo
pylibpcap                               python-libpcap
pylibssh2                               python-libssh2
Louie                                   python-louie
pyliblzma                               python-lzma
M2Crypto                                python-m2crypto
Magic-file-extensions                   python-magic
Mako                                    python-mako
MapScript                               python-mapscript
Markdown                                python-markdown
MDP                                     python-mdp
mecab-python                            python-mecab
python-memcached                        python-memcache
python-mhash                            python-mhash
sqlalchemy-migrate                      python-migrate
pymilter                                python-milter
mingc                                   python-ming
MiniMock                                python-minimock
MLPY                                    python-mlpy
moin                                    python-moinmoin
elisa                                   python-moovida
python-mpd                              python-mpd
pymsn                                   python-msn
python-musicbrainz                      python-musicbrainz
