#epoch,population,Rock,Paper,Scissors
0,0,827,849,824
1,0,784,842,874
2,0,752,827,921
3,0,779,784,937
4,0,848,759,893
5,0,857,742,901
6,0,850,763,887
7,0,798,782,920
8,0,794,782,924
9,0,793,799,908
10,0,828,771,901
11,0,858,759,883
12,0,922,738,840
13,0,919,734,847
14,0,939,722,839
15,0,973,749,778
16,0,984,758,758
17,0,971,813,716
18,0,950,843,707
19,0,881,883,736
20,0,855,892,753
21,0,819,923,758
22,0,778,954,768
23,0,740,954,806
24,0,701,949,850
25,0,679,941,880
26,0,707,889,904
27,0,700,876,924
28,0,671,826,1003
29,0,665,799,1036
30,0,681,718,1101
31,0,676,686,1138
32,0,709,644,1147
33,0,771,602,1127
34,0,805,567,1128
35,0,846,560,1094
36,0,927,542,1031
37,0,984,533,983
38,0,1013,558,929
39,0,1013,591,896
40,0,1025,632,843
41,0,1019,666,815
42,0,1027,717,756
43,0,1030,777,693
44,0,1010,843,647
45,0,984,890,626
46,0,938,917,645
47,0,913,949,638
48,0,880,975,645
49,0,835,985,680
50,0,800,988,712
51,0,768,972,760
52,0,766,960,774
53,0,776,953,771
54,0,779,918,803
55,0,800,886,814
56,0,837,848,815
57,0,842,847,811
58,0,895,814,791
59,0,936,793,771
60,0,956,772,772
61,0,977,776,747
62,0,933,819,748
63,0,889,893,718
64,0,834,980,686
65,0,774,1058,668
66,0,710,1111,679
67,0,669,1113,718
68,0,673,1078,749
69,0,640,1047,813
70,0,639,964,897
71,0,701,857,942
72,0,748,804,948
73,0,773,788,939
74,0,804,742,954
75,0,837,738,925
76,0,880,738,882
77,0,919,758,823
78,0,918,794,788
79,0,892,844,764
80,0,864,891,745
81,0,846,926,728
82,0,855,939,706
83,0,835,945,720
84,0,781,919,800
85,0,733,935,832
86,0,705,944,851
87,0,648,974,878
88,0,626,993,881
89,0,590,994,916
90,0,588,948,964
91,0,579,914,1007
92,0,614,870,1016
93,0,664,835,1001
94,0,687,822,991
95,0,697,808,995
96,0,723,779,998
97,0,782,752,966
98,0,803,763,934
99,0,808,763,929
100,0,836,772,892
101,0,859,764,877
102,0,911,746,843
103,0,946,755,799
104,0,974,757,769
105,0,962,797,741
106,0,971,786,743
107,0,933,849,718
108,0,893,899,708
109,0,855,928,717
110,0,865,957,678
111,0,782,1017,701
112,0,737,1057,706
113,0,718,1075,707
114,0,677,1067,756
115,0,659,1056,785
116,0,646,1025,829
117,0,670,980,850
118,0,662,972,866
119,0,680,958,862
120,0,654,954,892
121,0,640,924,936
122,0,635,895,970
123,0,675,836,989
124,0,690,809,1001
125,0,706,781,1013
126,0,732,757,1011
127,0,739,780,981
128,0,763,786,951
129,0,791,769,940
130,0,782,764,954
131,0,800,744,956
132,0,832,764,904
133,0,839,770,891
134,0,852,763,885
135,0,863,784,853
136,0,876,798,826
137,0,863,823,814
138,0,851,854,795
139,0,819,865,816
140,0,798,856,846
141,0,814,843,843
142,0,808,813,879
143,0,803,830,867
144,0,800,821,879
145,0,797,814,889
146,0,836,810,854
147,0,840,829,831
148,0,865,820,815
149,0,875,838,787
150,0,900,869,731
151,0,909,875,716
152,0,912,874,714
153,0,921,867,712
154,0,920,869,711
155,0,900,887,713
156,0,901,900,699
157,0,882,903,715
158,0,904,909,687
159,0,888,950,662
160,0,837,986,677
161,0,800,980,720
162,0,734,1028,738
163,0,707,1027,766
164,0,669,1038,793
165,0,644,1024,832
166,0,608,987,905
167,0,607,916,977
168,0,639,865,996
169,0,672,814,1014
170,0,708,785,1007
171,0,762,781,957
172,0,781,802,917
173,0,833,797,870
174,0,836,818,846
175,0,825,854,821
176,0,846,878,776
177,0,856,888,756
178,0,874,877,749
179,0,906,847,747
180,0,927,849,724
181,0,910,851,739
182,0,918,833,749
183,0,936,833,731
184,0,947,847,706
185,0,957,841,702
186,0,947,829,724
187,0,955,802,743
188,0,927,822,751
189,0,889,820,791
190,0,865,818,817
191,0,835,824,841
192,0,834,816,850
193,0,840,836,824
194,0,855,851,794
195,0,851,861,788
196,0,848,867,785
197,0,832,858,810
198,0,797,861,842
199,0,810,856,834
200,0,816,853,831
201,0,844,857,799
202,0,855,865,780
203,0,821,895,784
204,0,832,929,739
205,0,841,925,734
206,0,834,944,722
207,0,831,928,741
208,0,803,913,784
209,0,786,908,806
210,0,793,919,788
211,0,763,947,790
212,0,756,908,836
213,0,749,887,864
214,0,792,836,872
215,0,773,799,928
216,0,756,790,954
217,0,758,759,983
218,0,751,729,1020
219,0,776,697,1027
220,0,838,659,1003
221,0,885,636,979
222,0,910,680,910
223,0,920,735,845
224,0,874,818,808
225,0,824,880,796
226,0,793,911,796
227,0,745,970,785
228,0,793,989,718
229,0,800,1048,652
230,0,787,1092,621
231,0,813,1101,586
232,0,799,1077,624
233,0,791,1060,649
234,0,758,1011,731
235,0,743,950,807
236,0,719,918,863
237,0,683,893,924
238,0,689,827,984
239,0,705,765,1030
240,0,747,739,1014
241,0,785,697,1018
242,0,808,698,994
243,0,854,709,937
244,0,899,726,875
245,0,946,743,811
246,0,975,753,772
247,0,1013,750,737
248,0,1018,777,705
249,0,1056,759,685
250,0,1078,737,685
251,0,1100,716,684
252,0,1085,707,708
253,0,1078,688,734
254,0,1073,673,754
255,0,1061,666,773
256,0,1053,666,781
257,0,1035,701,764
258,0,987,765,748
259,0,953,816,731
260,0,907,879,714
261,0,872,927,701
262,0,851,927,722
263,0,847,936,717
264,0,828,952,720
265,0,830,958,712
266,0,811,957,732
267,0,766,957,777
268,0,766,963,771
269,0,756,966,778
